keyword_repetitions,county
13152,York
624,California
602,Cook
520,Paris
489,Virginia
467,Harris
453,Fulton
421,Miami-Dade
396,Orange
381,Kings
371,Dallas
367,Los Angeles
367,Washington
364,Florida
353,Massachusetts
297,King
295,Maricopa
294,Upshur County
291,Franklin
262,Pennsylvania
249,Illinois
239,Comunidad de Madrid
225,Santa Clara
212,Greater Manchester
208,Travis
202,Philadelphia
197,Cataluña
194,City Of Sydney
171,Wayne
167,Melbourne
163,Cuyahoga
156,Konkan Division
155,Hillsborough
154,Missouri
153,Jakarta Raya
147,Kentucky
146,West Midlands
144,Bangkok
140,Département Du Loiret
140,Maryland
138,Kansas
137,Mecklenburg
135,San Bernardino
131,Baltimore City
126,New York
124,Davidson
121,Bronx County
119,Clark
118,Denver
114,Jawa Barat
113,Hamilton
113,Alameda
112,Essex
112,Hennepin
110,Multnomah
107,Delaware
106,Colorado
101,Provincia De Santiago
101,Montréal
100,Indiana
98,Marion
97,Erie
94,Ribeirão Preto
94,Municipalidad Metropolitana de Lima
93,Louisiana
93,Federal Capital
92,Dublin City
91,City Of Johannesburg Metropolitan Municipality
90,Arizona
89,Moscow (City)
89,Montgomery
88,Tennessee
85,Oxford County
85,Provincia Di Milano
84,Norfolk
82,Minnesota
82,Oklahoma
79,Arkansas
79,Tarrant
78,Government Of Amsterdam
73,Nottinghamshire
73,Riverside
72,Attica
72,Merseyside
71,Baltimore County
70,St. Louis County
66,Western Visayas
66,Texas
66,Shelby
66,Kent
65,Summit
64,Wake
64,East Baton Rouge
63,Anchorage
62,City Of Bristol
60,West Yorkshire
59,Valencia
58,South Yorkshire
57,Dhaka District
57,Jawa Timur
57,Sacramento
57,Albany
56,Alabama
56,Kankakee
55,National Capital Region
53,Pima
53,Utah
52,Suffolk
52,Lake
51,Sedgwick
48,Iowa
48,Jawa Tengah
48,Cumberland
48,Fresno
47,Jefferson
47,Cambridgeshire
47,Douglas
46,Porto
46,Milwaukee
46,North Carolina
45,Greene
45,Sevilla
45,Dutchess
44,Kalimantan Timur
44,Oxfordshire
43,Phillips County
43,South Carolina
43,Calabarzon
43,Brisbane
43,Stockholm
42,Knox
42,Will
42,Wisconsin
41,Provincie Antwerpen
40,Charleston
40,Granada
40,San Diego
39,Dane
39,Satara Division
39,Olmsted
39,Amajuba District Municipality
39,Département Des Bouches-Du-Rhône
38,Zürich District
38,Perugia
36,Nola
36,Mississippi
36,Málaga
36,Bernalillo
36,Oakland
35,West Virginia
34,Leicester
34,The City Of Brighton And Hove
34,Honolulu
34,Belfast
34,Kane
34,Boone
34,Cardiff
34,Guilford
33,Harare (city)
33,Passaic
33,Cambridge
33,Accra Metropolis
32,Oregon
32,Middlesex
32,Taipei
32,Provincie Vlaams-Brabant
32,Karāchi District
32,City Of Tshwane Metropolitan Municipality
32,Eastern Visayas
31,Westchester
31,Auckland
30,Union
30,Broward
30,Département Du Nord
30,Duval
30,Hawaii
29,Bergen
29,Nassau
29,Providence
29,Provincia Di Roma
29,Mobile
29,Arapahoe
29,Regierungsbezirk Köln
29,Principado de Asturias
29,Macomb
28,Recife
28,North Ayrshire
27,San Joaquin
27,Durham
27,Regierungsbezirk Oberbayern
27,Département Des Alpes-Maritimes
26,Fortaleza
26,Hampshire
26,Hyderābād
26,Hudson
25,Alachua
25,San Francisco
25,Monmouth County
25,Denton
25,Limeira
25,Contra Costa
25,Greater London
25,Ingham
25,Kern
25,Gurgaon
25,Madison
25,Genesee
24,Tulsa
24,Castilla y León
24,Sittard-Geleen
23,Pitt
23,Tuscaloosa
23,Hinds
23,Balearic Islands
23,Sumatera Utara
23,Alicante
22,Ottawa
22,Goiânia
22,Leon
22,Curitiba
22,Lampung
22,Boulder
22,Lisboa
22,Département Du Rhône
21,Alaska
21,Oslo
21,Reading
21,Lucas
21,Cobb
21,Département Du Bas-Rhin
21,Yogyakarta
