country,keyword_repetitions,latitude,longitude,location
United States,17061,41.85003,-87.65004999999999,POINT(-87.65004999999999 41.85003)
United Kingdom,16225,53.958,-1.083,POINT(-1.083 53.958)
Canada,1696,43.70011,-79.41630000000001,POINT(-79.41630000000001 43.70011)
Japan,1370,35.6895,139.69171,POINT(139.69171 35.6895)
France,1353,43.70313,7.26608,POINT(7.26608 43.70313)
Spain,1125,37.98704,-1.13004,POINT(-1.13004 37.98704)
India,1108,25.58052,83.58058,POINT(83.58058 25.58052)
Brazil,1092,-20.31944,-40.33778,POINT(-40.33778 -20.31944)
Mexico,1050,23,-102,POINT(-102 23)
Indonesia,817,-6.60132,106.80574,POINT(106.80574 -6.60132)
Australia,734,-37.814,144.96332,POINT(144.96332 -37.814)
Germany,590,52.52437,13.41053,POINT(13.41053 52.52437)
Italy,538,41.89474,12.4839,POINT(12.4839 41.89474)
Colombia,448,4.60971,-74.08175,POINT(-74.08175 4.60971)
Jersey,438,49.18804,-2.10491,POINT(-2.10491 49.18804)
Nigeria,436,6.45306,3.39583,POINT(3.39583 6.45306)
Philippines,395,10.69694,122.56444,POINT(122.56444 10.69694)
Venezuela,334,10.48801,-66.87918999999999,POINT(-66.87918999999999 10.48801)
Thailand,290,13.75398,100.50144,POINT(100.50144 13.75398)
Turkey,289,37.87135,32.48464,POINT(32.48464 37.87135)
Netherlands,282,52.37403,4.88969,POINT(4.88969 52.37403)
Russia,273,57.62987,39.87368,POINT(39.87368 57.62987)
South Africa,245,-25.98953,28.12843,POINT(28.12843 -25.98953)
Argentina,231,-34.61315,-58.37723,POINT(-58.37723 -34.61315)
Chile,224,-33.45694,-70.64827,POINT(-70.64827 -33.45694)
Ireland,203,53.33306,-6.24889,POINT(-6.24889 53.33306)
Peru,165,-12.04318,-77.02824,POINT(-77.02824 -12.04318)
Georgia,154,41.69411,44.83368,POINT(44.83368 41.69411)
Belgium,154,50.85045,4.34878,POINT(4.34878 50.85045)
Portugal,145,38.71667,-9.133330000000001,POINT(-9.133330000000001 38.71667)
Singapore,144,,,
Ecuador,143,-0.22985,-78.52495,POINT(-78.52495 -0.22985)
Saudi Arabia,135,21.54238,39.19797,POINT(39.19797 21.54238)
Malaysia,129,,,
Norway,123,59.91273,10.74609,POINT(10.74609 59.91273)
Sweden,123,55.60587,13.00073,POINT(13.00073 55.60587)
Greece,119,37.97945,23.71622,POINT(23.71622 37.97945)
Pakistan,118,32.1,74.88333,POINT(74.88333 32.1)
Egypt,97,31.21564,29.95527,POINT(29.95527 31.21564)
Kenya,94,-1.28333,36.81667,POINT(36.81667 -1.28333)
Ghana,91,5.55602,-0.1969,POINT(-0.1969 5.55602)
Guatemala,90,14.64072,-90.51327000000001,POINT(-90.51327000000001 14.64072)
United Arab Emirates,89,25.25817,55.30472,POINT(55.30472 25.25817)
Poland,86,52.40692,16.92993,POINT(16.92993 52.40692)
Taiwan,81,25.04776,121.53185,POINT(121.53185 25.04776)
South Korea,81,37.566,126.9784,POINT(126.9784 37.566)
Panama,80,9.359170000000001,-79.90139000000001,POINT(-79.90139000000001 9.359170000000001)
New Zealand,69,-45.87416,170.50361,POINT(170.50361 -45.87416)
Jamaica,68,17.99702,-76.79358000000001,POINT(-76.79358000000001 17.99702)
Bangladesh,67,23.7104,90.40743999999999,POINT(90.40743999999999 23.7104)
Switzerland,65,47.5584,7.57327,POINT(7.57327 47.5584)
Lebanon,62,33.88894,35.49442,POINT(35.49442 33.88894)
China,62,39.9075,116.39723,POINT(116.39723 39.9075)
Ukraine,60,49.26937346,23.49539539,POINT(23.49539539 49.26937346)
Kuwait,56,29.36972,47.97833,POINT(47.97833 29.36972)
Bolivia,54,-14.83333,-64.90000000000001,POINT(-64.90000000000001 -14.83333)
Uruguay,53,-33.98917,-58.28556,POINT(-58.28556 -33.98917)
Austria,50,48.20849,16.37208,POINT(16.37208 48.20849)
Hungary,50,47.49801,19.03991,POINT(19.03991 47.49801)
Romania,49,44.43225,26.10626,POINT(26.10626 44.43225)
Zimbabwe,45,-17.82772,31.05337,POINT(31.05337 -17.82772)
Finland,41,60.16952,24.93545,POINT(24.93545 60.16952)
Iraq,38,33.34058,44.40088,POINT(44.40088 33.34058)
Uganda,37,0.31628,32.58219,POINT(32.58219 0.31628)
Central African Republic,36,3.52716,16.04,POINT(16.04 3.52716)
El Salvador,33,13.68935,-89.18718,POINT(-89.18718 13.68935)
