id,population,city,keyword_repetitions,real_coverage_per_million,relative_interest
GB-ENG,204000,York,16020,78529.41176470588834491,7.094936215734906
US-CA,37691912,California,2052,54.44138784999816494,4.407945618848585
US-FL,17671452,Orange,1489,84.26019548365351852,7.808946289509388
US-TX,22875689,Harris,1303,56.96003298523598346,4.695211088995431
US-IL,12772888,Cook,1069,83.69289701749518429,7.744242747785883
US-NY,19274244,Suffolk,1058,54.89190652562040640,4.459329776684832
CA-ON,12861940,,781,60.72178847047957362,5.124260200729047
US-OH,11467123,Cuyahoga,780,68.0205488333909045,5.956724368787768
US-WA,6271775,Chelan,718,114.48114768147772224,11.25581378185012
US-GA,8975842,Fulton,578,64.39507290792329286,5.543218697955267
FR-J,11598866,Paris,554,47.76328996300155438,3.646271454292805
US-PA,1526006,Philadelphia,547,358.45206375335357052,39.08205215382574
US-MA,22795,Bristol,501,21978.50405790743388934,0.5937695490682382
US-VA,7642884,Virginia,489,63.98108358049134381,5.496000915220946
US-AZ,5863809,Arizona,476,81.17590460398692187,7.45716577973408
US-NC,8611367,Wake,424,49.23724653704807253,3.814384390210444
US-MD,5624246,Baltimore County,401,71.29844604947933817,6.330586756822743
US-TN,5935099,Shelby,376,63.35193397784940572,5.424242907764063
US-MI,10147096,Wayne,336,33.11292216019243284,1.975315615450187
US-CO,4678630,Denver,330,70.53346813062798049,6.243336775300419
US-NJ,8751436,Union,326,37.25102943105565600,2.447289739176975
US-CT,3527249,Upshur County,314,89.02121738499323556,8.351967287478857
JP-13,12445327,,311,24.98929919639716957,1.048771285190649
US-MO,5768151,Missouri,301,52.18309992231478844,4.150375334652253
US-IN,6265933,Indiana,260,41.49421961581778362,2.9312491530279
US-MN,5141953,Hennepin,238,46.28591509879611721,3.477768643392039
ES-MD,6386932,Comunidad de Madrid,234,36.63730880491603870,2.377291492206718
NG-LA,10601345,,228,21.5067050454447042,0.6515620745292374
US-OR,3642919,Jackson,221,60.66563654036777109,5.11785576114463
US-LA,4515939,East Baton Rouge,214,47.38770829278251995,3.603434278239489
US-KS,2740759,Kansas,211,76.9859735934462037,6.979280870587408
CA-BC,4413973,,208,47.12307936636676686,3.57325187902107
IN-MH,112374333,Konkan Division,208,1.85095648131677915,-1.590285247812687
AU-NSW,6917658,City Of Sydney,205,29.6343068709092030,1.578560216066938
ES-CT,7475420,Cataluña,197,26.35303434455856575,1.204312855144835
AU-VIC,5354042,Melbourne,180,33.61945983987424569,2.033089051916118
US-WI,5535168,Kent County,176,31.79668620717564664,1.825191592586661
US-AL,4530315,Tuscaloosa,174,38.40792527671916901,2.579240137574041
US-NV,2399532,Clark,162,67.5131650671880976,5.898854431453636
ES-AN,8302923,Sevilla,161,19.39076154265190510,0.410226962794036
ID-JK,9953016,Jakarta Raya,153,15.37222486128827548,-0.04810947091927087
US-KY,4206074,Kentucky,152,36.13821345035774613,2.320366894267375
TR-34,11581707,,150,12.95145870984303116,-0.3242112991924424
FR-F,2526919,Département Du Loiret,148,58.56934868114095138,4.878762484756148
IN-DL,16787941,,146,8.69671867443422641,-0.8094880376754578
TH-10,5104476,Bangkok,144,28.21053522437954442,1.41617114993775
CA-QC,7730612,Saguenay/lac-Saint-Jean,144,18.62724451828652050,0.3231436044039178
BR-PE,8796032,Moreno,139,15.80258007246904128,0.0009749317781797551
US-OK,3547049,Oklahoma,138,38.90558038527237272,2.636000467455138
ZA-GP,10058121,City Of Johannesburg Metropolitan Municipality,137,13.62083434868202581,-0.247865288829306
US-SC,4229842,South Carolina,136,32.15250120453671201,1.865774269785676
DE-BE,3442675,,124,36.01850305358478721,2.306713258457659
BR-SP,41252160,Itápolis,120,2.90893858648856218,-1.469616511039483
US-DE,838549,Delaware,116,138.3341939469249837,13.97638622534807
ID-JB,45278744,Jawa Barat,114,2.51773768282971799,-1.514235147440128
US-AR,2757631,Arkansas,108,39.16405059270076094,2.665480430557942
MX-NLE,4123418,,108,26.19186315818575750,1.185930385943536
IT-25,9826141,Pavia,107,10.88932063970993269,-0.5594096024137343
CL-RM,6685685,Provincia De Santiago,103,15.40605038975063756,-0.04425148147853619
CO-VAC,4161425,,101,24.27053232967072560,0.9667919308912387
IN-TN,72147030,,98,1.35833727320445496,-1.646471205271276
US-MS,2901371,Rankin,97,33.43247037348894679,2.011761864444505
IE-L,2504814,Dublin City,97,38.72543031139237968,2.61545335069538
NL-NH,2498931,Government Of Amsterdam,95,38.01625575095911103,2.534568052219297
CO-DC,6840116,,95,13.8886533503232990,-0.2173190438087762
CA-AB,3497881,,92,26.30163804886444368,1.198450822085944
AE-DU,1141963,,88,77.06029004442351038,6.987757074690542
DE-NW,17872763,Regierungsbezirk Münster,87,4.86774204973232116,-1.24620409381507
ES-VC,5094675,Valencia,83,16.29152006752148196,0.05674125454721635
BE-VLG,6350765,Provincie Vlaams-Brabant,82,12.9118303070574960,-0.3287311386879259
