id,population,total,real_coverage_per_million,relative_interest
United States,310232863,16917,54.53000638426883739,18.38295839315384
United Kingdom,62348447,16179,259.49323164376488648,97.36892036262508
Canada,33679000,1312,38.95602601027346168,12.3812679924672
Mexico,112468855,1048,9.31813522952643147,0.9598175781326015
France,64768389,1009,15.57858726422854190,3.372386104504236
Spain,46505963,814,17.50313180268947377,4.114041108864029
India,1173108018,781,0.665752844594401205,-2.374520789817633
Brazil,201103330,594,2.95370544087957176,-1.49282049197476
Indonesia,242968342,542,2.23074329576649122,-1.771425887781604
Australia,21515754,505,23.47117372693515591,6.413924572660369
Japan,127288000,472,3.70812645339702129,-1.202091902354693
Germany,81802257,418,5.10988345957251511,-0.6619017026735547
Italy,60340328,344,5.70099652093372811,-0.4341065275867919
Colombia,47790000,313,6.54948734044779268,-0.1071265851276828
Nigeria,154000000,298,1.93506493506493515,-1.88537042453448
Turkey,77804122,258,3.31601968337872899,-1.353196718281677
Philippines,99900177,254,2.54253803774541876,-1.651270637487074
South Africa,49000000,243,4.95918367346938815,-0.7199763526937173
Netherlands,16645000,218,13.09702613397416648,2.416075562400737
Venezuela,27223228,170,6.24466723784556343,-0.2245940430152511
Thailand,67089500,161,2.39977939916082272,-1.706285035234672
Singapore,4701069,142,30.20589572286643687,9.009260856874819
Chile,16746491,140,8.35996030451991423,0.5905690551800222
Russia,140702000,120,0.852866341629827551,-2.302413515246287
Peru,29907003,115,3.84525323383289219,-1.149247834103958
Ireland,4622917,114,24.65975486905778524,6.871963934455488
Belgium,10403000,107,10.28549456887436264,1.332605466749262
Saudi Arabia,25731776,98,3.80852064000557133,-1.163403345442206
Greece,11000000,94,8.54545454545454675,0.6620523226855424
Portugal,10676000,93,8.71112776320719284,0.7258972317427794
United Arab Emirates,4975593,89,17.88731514012500767,4.26209249926135
Sweden,9555893,87,9.10432965291679253,0.8774240701188152
Pakistan,184404791,84,0.455519618251133185,-2.455537633691186
Ecuador,14790608,84,5.67927971588456693,-0.4424754568692997
Panama,3410676,80,23.45576067618266691,6.407984899145628
South Korea,48422644,79,1.63146812057598511,-2.002366468156046
Kenya,40046566,70,1.74796510642135949,-1.957472431765415
New Zealand,4252277,67,15.75626423208083615,3.440856856795845
Switzerland,7581000,63,8.31024930747922319,0.5714121019424381
Argentina,41343201,62,1.49964198466393550,-2.053167845547276
Bangladesh,156118464,61,0.390728927489319922,-2.480505795809094
Egypt,80471869,60,0.74560216813157398,-2.343749535002482
Poland,38500000,50,1.29870129870129869,-2.130603655602812
China,1330044000,48,0.0360890316410584916,-2.61717213334776
Bolivia,9947418,46,4.62431557616257827,-0.8490233013118302
Austria,8205000,42,5.11882998171846459,-0.6584540126936358
Taiwan,22894384,40,1.74715336302562241,-1.95778525048157
Zimbabwe,11651858,39,3.34710567190228359,-1.341217219499902
Ghana,24339838,39,1.60231140404467776,-2.013602490131114
Norway,5009150,38,7.58611740514857846,0.2923559208838351
Malaysia,28274729,37,1.30858902308135305,-2.12679325780653
Central African Republic,4844927,36,7.43045251249399641,0.2323678851001962
Uruguay,3477000,34,9.77854472246189133,1.137243975738037
Jamaica,2847232,33,11.59020409998201728,1.835396820050829
Romania,21959278,29,1.32062629745841376,-2.122154495438506
Hungary,9982000,29,2.90522941294329806,-1.5115015294836
Finland,5244000,28,5.33943554538520271,-0.5734400174270511
Czech Republic,10476000,24,2.29095074455899184,-1.7482239536074
Puerto Rico,3916632,24,6.12771381125415893,-0.2696639763813589
Tunisia,10589025,20,1.88874801976574802,-1.903219412350382
Morocco,31627428,20,0.63236251774883501,-2.387388303407122
Uganda,33398682,19,0.5688847242534900,-2.41185051889276
Benin,9056010,19,2.09805422034648803,-1.822559813155873
Paraguay,6375830,18,2.82316184716342811,-1.543127620561202
Qatar,840926,16,19.02664443720374976,4.701151849619599
Ukraine,45415596,14,0.308264147849122150,-2.512284959804171
Côte d’Ivoire,21058798,14,0.664805275210864299,-2.374885951320125
Iran,76923300,14,0.181999472201530621,-2.560943136685228
Denmark,5484000,12,2.18818380743982521,-1.787826889093689
Cuba,11423000,11,0.962969447605707685,-2.259983466000521
Algeria,34586184,11,0.318046072963701298,-2.508515333501159
Costa Rica,4516220,10,2.21424111314329242,-1.777785276239894
Botswana,2029307,10,4.92779062014766644,-0.7320741839638671
Zambia,13460305,9,0.668632694430029595,-2.373410992148774
Serbia,7344847,9,1.22534887384311753,-2.158871223274434
Jordan,6407085,9,1.40469495878390860,-2.089757249162385
Angola,13068161,8,0.612174888264691575,-2.395167939645133
Bulgaria,7148785,8,1.11907128274245204,-2.199827047219224
Cameroon,19294149,8,0.414633472562070504,-2.471293784797737
Guyana,748486,8,10.68824266586148575,1.487811093669051
Libya,6461454,8,1.23811142198025403,-2.153952964691622
Lebanon,4125247,8,1.9392778177888499,-1.883746920639126
Guatemala,13550440,7,0.516588391225672461,-2.432003774026447
Oman,2967717,7,2.35871547051150765,-1.722109697939435
Bahamas,301790,7,23.19493687663607062,6.307472142841965
Nepal,28951852,7,0.241780733059840186,-2.537905441066107
Senegal,12323252,6,0.486884468482832344,-2.443450670947296
Rwanda,11055976,6,0.542692929145287661,-2.421943959458547
Slovakia,5455000,6,1.09990834097158574,-2.207211803133464
Macedonia,2062294,6,2.90938149458806539,-1.509901456287677
Palestinian Territories,3800000,6,1.57894736842105265,-2.02260620690462
Iraq,29671605,5,0.168511275342200062,-2.566141035980669
Timor-Leste,1154625,5,4.33041030637652913,-0.9622845482138402
Guinea,10324025,5,0.484307234823627364,-2.444443850477598
Honduras,7989415,4,0.500662438989588066,-2.438141102593825
Croatia,4491000,4,0.890670229347584108,-2.28784516312462
North Korea,22912177,4,0.174579656922168508,-2.563802484974337
Cyprus,1102677,4,3.62753553397776507,-1.233148943383761
Iceland,308910,4,12.9487553008967016,2.358936949521226
Latvia,2217969,4,1.80345171641262803,-1.936089750745264
Nicaragua,5995928,4,0.667119418378606333,-2.373994158053271
Belarus,9685000,4,0.413009808982963300,-2.471919490358079
Dominican Republic,9823821,3,0.3053801570692300,-2.513396353254252
Isle of Man,75049,3,39.97388372929685829,12.77351626521627
Slovenia,2007000,3,1.49476831091180862,-2.055045996172344
Vietnam,89571130,3,0.0334929346096225419,-2.61817258218991
Sri Lanka,21513990,3,0.139444147738285645,-2.577342533383815
Kazakhstan,15340000,3,0.195567144719687086,-2.555714610132835
CW,141766,3,21.16163254941241334,5.523904758697242
Israel,7353985,3,0.407942088541110692,-2.473872420077961
Liberia,3685076,3,0.814094471864352354,-2.31735489522752
Namibia,2128471,3,1.40946247329655883,-2.08792000875251
Lithuania,2944459,3,1.01886288788534674,-2.23844400621362
Uzbekistan,27865738,3,0.107659090170158053,-2.589591429960725
Syria,22198110,2,0.0900977605751120264,-2.596358978186859
Estonia,1291170,2,1.54898270560809181,-2.034153584315257
Azerbaijan,8303512,2,0.240861938900070210,-2.538259513561158
Turkmenistan,4940916,2,0.404783242621408690,-2.475089733492917
Afghanistan,29121286,2,0.0686782857048277434,-2.604613326377216
Maldives,395650,2,5.05497282952104143,-0.6830624203168016
Armenia,2968000,1,0.336927223719676538,-2.50123917040574
Georgia,4630000,1,0.215982721382289411,-2.547847130687117
Tajikistan,7487489,1,0.133556122753569317,-2.579611580999206
Fiji,875983,1,1.14157466526176887,-2.191154997325372
Equatorial Guinea,1014999,1,0.985222645539552300,-2.251407828866218
Barbados,285653,1,3.50075091107042491,-1.282007490523592
Mali,13796354,1,0.0724829183130557553,-2.603147148402504
Togo,6587239,1,0.151808671280941831,-2.572577660148265
Kyrgyzstan,5508626,1,0.18153347132297601,-2.561122717815572
Tanzania,41892895,1,0.0238703961614493351,-2.621880786210192
Bahrain,738004,1,1.35500620592842314,-2.108905630236038
Mozambique,22061451,1,0.0453279342324310400,-2.613611769737177
Marshall Islands,65859,1,15.1839535978378048,3.220307507351268
Ethiopia,88013491,1,0.0113618945077408641,-2.626701143787333
Macau SAR China,449198,1,2.22618978713173243,-1.77318065749406
Cape Verde,508659,1,1.96595361529040091,-1.873466961762137
Gabon,1545255,1,0.647142381030962555,-2.381692639135455
Madagascar,21281844,1,0.0469884094630145799,-2.612971878199326
Lesotho,1919552,1,0.520954889474210647,-2.430321071853108
Bosnia and Herzegovina,4590000,1,0.217864923747276701,-2.547121792938203
Brunei,395027,1,2.53147253225728885,-1.655534912673766
