place_as_appears_on_bio,keyword_repetitions,latitude,longitude,location
"New York, USA",11753,53.958,-1.083,POINT(-1.083 53.958)
New York,531,53.958,-1.083,POINT(-1.083 53.958)
London,516,51.509,-0.126,POINT(-0.126 51.509)
"New York, NY",406,53.958,-1.083,POINT(-1.083 53.958)
"London, England",349,51.509,-0.126,POINT(-0.126 51.509)
"California, USA",337,37.25022,-119.75126,POINT(-119.75126 37.25022)
Brasil,328,-15.77972,-47.92972,POINT(-47.92972 -15.77972)
日本,301,35.6895,139.69171,POINT(139.69171 35.6895)
"Houston, TX",289,29.76328,-95.36327,POINT(-95.36327 29.76328)
Canada,271,45.41117,-75.69812,POINT(-75.69812 45.41117)
"Chicago, IL",268,41.85003,-87.65004999999999,POINT(-87.65004999999999 41.85003)
India,252,28.63576,77.22445,POINT(77.22445 28.63576)
México,250,23,-102,POINT(-102 23)
"Atlanta, GA",247,33.749,-84.38798,POINT(-84.38798 33.749)
France,222,48.85341,2.3488,POINT(2.3488 48.85341)
"Brooklyn, NY",219,40.6501,-73.94958,POINT(-73.94958 40.6501)
Indonesia,212,-6.21462,106.84513,POINT(106.84513 -6.21462)
Paris,194,48.85341,2.3488,POINT(2.3488 48.85341)
Australia,184,-35.28346,149.12807,POINT(149.12807 -35.28346)
California,174,37.25022,-119.75126,POINT(-119.75126 37.25022)
España,173,40.416,-3.703,POINT(-3.703 40.416)
"Orlando, FL",168,28.53834,-81.37924,POINT(-81.37924 28.53834)
"Miami, FL",154,25.77427,-80.19365999999999,POINT(-80.19365999999999 25.77427)
"Toronto, Ontario",150,43.70011,-79.41630000000001,POINT(-79.41630000000001 43.70011)
"Washington, DC",147,47.50012,-120.50147,POINT(-120.50147 47.50012)
"Austin, TX",143,30.26715,-97.74306,POINT(-97.74306 30.26715)
"Florida, USA",140,28.75054,-82.5001,POINT(-82.5001 28.75054)
Toronto,136,43.70011,-79.41630000000001,POINT(-79.41630000000001 43.70011)
New York City,135,53.958,-1.083,POINT(-1.083 53.958)
"Dallas, TX",133,32.78306,-96.80667,POINT(-96.80667 32.78306)
"New Jersey, USA",131,49.18804,-2.10491,POINT(-2.10491 49.18804)
"Lagos, Nigeria",128,6.45306,3.39583,POINT(3.39583 6.45306)
New Jersey,124,49.18804,-2.10491,POINT(-2.10491 49.18804)
Japan,124,35.6895,139.69171,POINT(139.69171 35.6895)
"Columbus, OH",124,39.96118,-82.99879,POINT(-82.99879 39.96118)
Chicago,122,41.85003,-87.65004999999999,POINT(-87.65004999999999 41.85003)
"Cupertino, CA",121,37.33182,-122.03118,POINT(-122.03118 37.33182)
