timecode_utc,impressions,tweets
2016-04-28T09:00:00,37252969,7131
2016-04-28T10:00:00,37008861,8453
2016-04-28T11:00:00,11143876,1454
2016-04-28T12:00:00,11639469,2905
2016-04-28T13:00:00,,
2016-04-28T14:00:00,148015783,17070
2016-04-28T15:00:00,10911225,2893
2016-04-28T16:00:00,41457147,5855
2016-04-28T17:00:00,36442470,4275
2016-04-28T18:00:00,81406454,10166
2016-04-28T19:00:00,42893021,5304
2016-04-28T20:00:00,31721082,2006
2016-04-28T21:00:00,88546582,13263
2016-04-28T22:00:00,58808047,8750
2016-04-28T23:00:00,63875035,7377
2016-04-29T00:00:00,7283445,1360
2016-04-29T01:00:00,99529510,15899
2016-04-29T02:00:00,64915908,17904
2016-04-29T03:00:00,33576174,5659
2016-04-29T04:00:00,23164358,10417
2016-04-29T05:00:00,16797743,1500
2016-04-29T06:00:00,24767669,7470
2016-04-29T07:00:00,19265323,4024
2016-04-29T08:00:00,122257565,7828
2016-04-29T09:00:00,6413900,1520
