keyword,apple
Total audience,732158759
Contributors,111170
Total tweets,170483
Total potential impressions,1.119.093.616
Measured data from,2016-04-28 09:27
Measured data to,2016-04-29 09:10
Tweets per contributor,"1,53"
Impressions / Audience,"1,53"
Measured time in seconds,85376
Measured time in minutes,1423
Measured time in hours,24
Measured time in days,1
Tweets per second,1.996849231634183
Tweets per minute,119.810953898051
Tweets per hour,7188.657233883058
Tweets per day,172527.7736131934
