user_name,nickname,bio_content,followers,following,total_tweets,repeats,ff_ratio,influence_score,keyword_score
Skip Bayless,RealSkipBayless,"Daily sports truth and the hottest sports debate on TV, 10 a.m. Eastern, ESPN2. Maybe not what you want to hear, but need to hear.",1883659,,28407,1,1883659,75.33274879223229,30.78868936681477
Fact,Fact,Interesting facts about the world we live in. Check us out: https://t.co/csHwnwjWqZ / Facebook: https://t.co/nKPHSWpSOr,1550867,,401738,1,1550867,70.54769807517228,28.83302675667507
ESPN,espn,"We talk about sports, sports, and well ... sports.",27849184,306,75260,1,91010.40522875817,69.01469663348,28.20648510057119
CNN,CNN,"It’s our job to #GoThere and tell the most difficult stories. Come with us!",24830153,1118,84742,2,22209.43917710197,67.2145260599347,28.05569103389912
BBC News (World),BBCWorld,"Where we #LiveTheStory - join us
http://t.co/zQYj7l9rp2",14140532,106,229838,1,133401.2452830189,64.353323320371,26.30136976546116
Apple Music,AppleMusic,All the ways you love music. All in one place. Available on the new iOS.,8395604,779,24745,1,10777.41206675225,63.36274050096626,25.89651600388037
Starbucks Coffee,Starbucks,"Inspiring and nurturing the human spirit—one person, one cup, one neighborhood at a time.",11682860,99785,63244,1,117.0803226937917,63.2291671698223,25.84192423779967
TIME.com,TIME,Breaking news and current events from around the globe. Hosted by TIME staff. Tweet questions to our customer service team @TIMEmag_Service.,10435951,842,169723,1,12394.24109263658,61.91631903780456,25.30535980904136
Forbes,Forbes,"Official Twitter account of http://t.co/iVGiXAHX, homepage for the world's business leaders.",9332329,5163,132168,2,1807.539996126283,61.4552399536731,25.65173520701398
Bill Simmons,BillSimmons,Host of The Bill Simmons Podcast - links at https://t.co/wFBtVnv1DU. My HBO show = 2016. My next digital venture is https://t.co/CIR7zsReer - follow @ringer,4910572,378,16293,2,12990.93121693122,61.04047521284974,25.47861025765528
TechCrunch,TechCrunch,"Breaking technology news, analysis, and opinions from TechCrunch. The number one guide for all things tech.
Got a tip? Let us know tips@techcrunch.com",6699109,798,125085,3,8394.87343358396,60.127682779886,25.62087240224176
Mashable,mashable,"News, resources, inspiration and fun for the connected generation. Tweets by @mashable staff.",7003523,2835,191423,2,2470.37848324515,60.09348387634892,25.08333117281943
Washington Post,washingtonpost,"Tweet-length breaking news, analysis from around the world. Founded in 1877. Follow our journalists on Twitter: https://t.co/VV0UBAMHg8",6354964,1281,174630,1,4960.939890710382,59.74984157605915,24.41991486432214
YG Family,ygent_official,Welcome to the official Twitter page for YG Entertainment. [http://t.co/kwN2AK5T] [http://t.co/2leNbrwq],2300574,30,5756,1,76685.8,59.65143270590243,24.37969490444054
La Patilla,la_patilla,"Información e Investigación. 
También tenemos noticias frescas en Instagram - https://t.co/zWU7Vr8R9P  y Snapchat: https://t.co/7156GAjx0g ¡Siguenos!",5669427,158,2845227,4,35882.44936708861,59.36195559906082,25.81119272835289
Mustafa agha,mustafa_agha,"يفتشون عن أخطاء الآخرين وكأنهم يبحثون عن كنز، عقول تستحق الشفقة Head of MBC Sports. Brand Ambassador Copa Coca Cola, TryMax , https://t.co/Q8kM9OZjHV",4092402,111,60618,1,36868.48648648649,58.67621179234908,23.98111959353258
Pierce The Veil,piercetheveil,"New album #Misadventures available May 13th | Pre-order now DIGITAL: https://t.co/GGdBFgOjqY | BUNDLES: https://t.co/vasqaxhIgq | New single #TexasIsForever",1334664,78,2225,1,17111.07692307692,58.60330818372162,23.95132370003689
Design Museum,DesignMuseum,"One of the world's leading museums devoted to contemporary design in every form from architecture and fashion to graphics, product and industrial design.",2709749,2305,11249,1,1175.596095444685,58.16224934613608,23.77106181180602
Yung Rénzél,rickyrozay,"https://t.co/O1ky9Oy0Rt • @OfficialBelaire rosé • @wingstop LemonPepper lover • @bellocigars • @maybachmusicgrp • #GodIsGreat #MMG RickyRozayBookings@gmail.com",3235214,367,52834,1,8815.297002724796,57.43542691768289,23.47400760452895
NBC News,NBCNews,"A leading source of global news and information for more than 75 years. 
 
Facebook: https://t.co/oeDi7xACU7 

Snapchat: https://t.co/suOkoNb0KE",3390459,2904,78962,1,1167.513429752066,57.38122771672942,23.45185625085024
CNN México,CNNMex,"Te traemos las noticias de última hora y las historias destacadas del momento. Comparte, analiza y discute. ¡Únete a la conversación!",3384665,131,357559,1,25837.13740458015,57.36093492696191,23.44356253516145
Miranda Sings,MirandaSings,I am a really famous actor/singer/dancer/model/magician on youtube. https://t.co/DZc22P2FpD FOLLOW ME ON INSTAGRAM! @MirandaSingsOfficial,2278389,17801,10505,1,127.9921914499186,57.2959514061813,23.41700360206325
Suba.Me,SubaMeOficial,Desde 2009 aumentando sua presença e de sua marca nas redes sociais!,612527,,76419,6,612527,57.0964966354442,25.81992225596457
DRUDGE REPORT,DRUDGE_REPORT,The DRUDGE REPORT is a U.S. based news aggregation website run by Matt Drudge(@DRUDGE).,921246,2,166303,1,460623,57.01079739258974,23.30046041882717
Bloomberg,business,The first word in business news.,3127763,752,146018,3,4159.259308510638,56.92993520914318,24.25828733831198
ABS-CBN News Channel,ANCALERTS,News updates & breaking news from the Philippines. Like our Facebook page:  http://t.co/xr1ETuyubS.,3127274,754,309103,2,4147.57824933687,56.83610322760303,23.7236836320553
Teen Vogue,TeenVogue,Future tastemakers start here. Snapchat: teenvogue,2595501,2820,62389,1,920.3904255319148,56.35448689132403,23.03222461865241
El Comercio,elcomercio,"#ElComercio informa a través de este espacio lo que sucede en #Perú y el Mundo minuto a minuto. También sigue a @SmartphonesECpe, @Mundo_ecpe y @TVmas_ECpe",2646461,4145,261079,2,638.470687575392,56.166009511587,23.44398304704278
Liputan6.com,liputan6dotcom,The Official Twitter of Portal http://t.co/Tg70sL40Bc                                         Contact us: socialmedia@liputan6.com,2650935,685,742777,1,3869.978102189781,56.15262086127245,22.94972144980998
Noticias24,noticias24,"Portal de noticias sobre Venezuela, Latinoamérica y el mundo",2622717,327,1171787,1,8020.54128440367,56.14514926779153,22.9466677902204
Forbes Tech News,ForbesTech,Tech news and insights from Forbes.,2336346,15791,84639,1,147.9542777531505,55.83210478993355,22.81872570206763
CNBC,CNBC,First in Business Worldwide,2328722,965,95763,4,2413.183419689119,55.81669164040778,24.26967526340057
Financial Times,FT,"News stories, features and updates from the FT. For headlines follow @financialtimes. Our customer service team is @FTcare.",2345296,709,120976,3,3307.892806770099,55.81246037321154,23.78212263579166
Entrepreneur,Entrepreneur,"Inspiring, informing and celebrating entrepreneurs since 1973. Please tweet @EntCommunity for questions and event live-feeds.",2264289,1358,89906,1,1667.370397643594,55.70952640848252,22.7686276003776
USA TODAY,USATODAY,The latest news and most interesting stories from USA TODAY. News that's meant to be shared.,2299833,902,154544,1,2549.70399113082,55.69307307214511,22.76190307924088
ТСН.ua (канал 1+1),tsnua,"Телевізійна служба новин телеканалу 1+1. Останні новини політики, економіки, спорту - все це ексклюзивно на сайті TCH.ua та в цьому твітері",779125,2,77381,1,389562.5,55.65827880358997,22.74768257164671
la Repubblica,repubblicait,Il twitter feed ufficiale delle notizie di Repubblica.it,2194604,219,203117,2,10021.02283105023,55.56122839422403,23.19154427872145
FRANCE 24,FRANCE24,International News 24/7 in your language: @France24_fr - @France24_en - @France24_ar Contact us: https://t.co/ZaaXsh7FeN Mobile: https://t.co/gq0PUBNwJx,2226720,426,222629,1,5227.042253521126,55.55880224296675,22.70702624390863
jason woliner,jwoliner,"writer/director: eagleheart, brett gelman dinners, human giant, other things. director: some last man on earth, nathan for you, w/ bob and david, other things",43700,967,24,1,45.19131334022751,55.51611328543135,22.68957915649947
Spinoza,spinozait,Un blog serissimo. Anche in versione live su @LiveSpinoza,1006735,54,2865,1,18643.24074074074,55.5036227006962,22.68447422219684
BioBioChile,biobio,Usa @biobio y cuéntanos todo lo que ocurre en tu ciudad. ¡Síguenos y mantente informado minuto a minuto!,2253448,16582,566175,1,135.8972379688819,55.5003817665442,22.68314964402249
Fast Company,FastCompany,Official Twitter feed for the Fast Company business media brand;  inspiring readers to think beyond traditional boundaries & create the future of business.,2060037,3939,134137,1,522.98476770754,55.25795445921385,22.58406897619749
LIGA Bancomer MX,LIGABancomerMX,Aquí se vive el futbol con emoción y mucha pasión ✌️,1846123,56,84903,1,32966.48214285714,55.23932001395095,22.57645303019896
REFORMACOM,Reforma,Corazón de México,2003032,233,209234,1,8596.703862660945,55.18962048468958,22.55614070398443
Sam Pottorff,sampottorff,i like food and you! came out of my mothers womb a long time ago! SnapChat: SammPott business inquiries onlysampottorff@gmail.com,1794101,15276,26048,1,117.4457318669809,55.1704372141876,22.54830045169052
20 Minutes,20Minutes,"Information en continu. Actualités, Politique, Sport, People, High Tech / Sur Facebook : http://t.co/39vntgKz",1917341,1380,144259,1,1389.377536231884,54.97793572706111,22.4696245957738
Alice Cooper,RealAliceCooper,The ONLY Official Alice Cooper Twitter!,653338,52,1325,1,12564.19230769231,54.96688720189779,22.46510903494975
The Independent,Independent,"News, comment and features from The Independent.",1903333,1069,362703,2,1780.479887745557,54.88802318345,22.91054493969397
Sexenio,SexenioMX,Llevamos a las manos de los líderes mexicanos la información que determina el rumbo del país.,1789245,476,69240,1,3758.918067226891,54.84429803629739,22.41500652574996
BBC Mundo,bbcmundo,Twitter oficial de BBC Mundo. Aquí encuentran una selección de lo mejor de nuestro contenido y los invitamos a una conversación global. ¿Se animan?,1714597,331,117243,1,5180.051359516617,54.60539286229267,22.31736536292922
ReadWrite,RWW,"The latest news, analysis, and conversation on the Internet of Things #IoT and the Connected World from the https://t.co/l1wXqXK5ug team.",1654045,2713,48748,1,609.6737928492444,54.57957972979868,22.30681546888336
The Indian Express,IndianExpress,"The Indian Express brings to you latest news from India and the world, breaking round the clock. The 'Journalism of Courage' starts here.",1728767,731,195411,1,2364.934336525308,54.55911602094119,22.29845189812021
scarlet monahan,scarletmonahan,"looking in-looking on,
making art and still trying to work out the difference between a smile and a grin-
photography sculpture poetry celebrity controversial",1752708,25126,1055300,3,69.7567460001592,54.52769945543917,23.23467603516124
NFL on ESPN,ESPNNFL,"ESPN’s official NFL coverage. Sunday NFL Countdown, NFL LIVE, NFL Insiders and the NFL Draft. For Monday Night Football, follow @ESPNMondayNight.",1666861,2170,81494,2,768.1387096774193,54.49950769699371,22.74837656495629
Rappler,rapplerdotcom,"The Social News Network. Uncompromised journalism that inspires smart conversation and a thirst for change. We have an app for iOS, Android & Windows8!",1693793,358,318075,1,4731.265363128492,54.47773252810003,22.26519025400334
The Next Web,TheNextWeb,Your source for opinionated perspectives on tech news for Generation T,1655380,1178,110911,1,1405.246179966044,54.4345212492053,22.24752969250303
Reuters Business,ReutersBiz,"Top business news around the world. Join us @Reuters, @breakingviews, @ReutersGMF",1596515,229,102200,1,6971.681222707423,54.362067739373,22.21791775554963
Universal Musica,UniversalMusica,"Universal Music Latin Entertainment: Noticias exclusivas de musica, concursos, eventos y lanzamientos de discos! http://t.co/2iYmHNSYsS http://t.co/rqB2xjlzfh",1312174,383,12183,2,3426.041775456919,54.33929412288007,22.68150258996522
MGM Studios,MGM_Studios,Welcome to the Official Twitter Page for MGM Studios.  Follow us on tumblr: http://t.co/G7UbGMjVgy | Instagram: http://t.co/2zFwgnqhSA,956353,201,3925,1,4757.975124378109,54.27400929072443,22.18192803972176
Yo Gotti,YoGottiKOM,"The Greatest Story Ever Told Thru Music #TheArtofHustle Is Available Now! https://t.co/goCuZEG8kz                       #GottiNation",1410004,642,21221,1,2196.267912772586,54.25898189924029,22.17578630593644
LA F.m.,lafm,"Escúchanos en:
Bogotá 94.9 FM
Cali 98.5 FM
Medellín 106.9 FM
Cúcuta 102.7 FM
Eje Cafetero 98.5 FM
M/zales 99.7 FM
Fusa 103.3 FM
Ibagué 1020 AM
B/quilla 93.1 FM",1580767,214,741409,5,7386.761682242991,54.21776188659742,24.04627888197401
Business Insider,businessinsider,What you need to know.,1523175,200,278709,2,7615.875,54.10692636880345,22.58451108683684
La Tercera,latercera,"El diario de Chile. Noticias, conversación, opinión y otros contenidos destacados de http://t.co/h2mpRUhOmt. Sigue la actualidad deportiva en @lt_deportes.",1532580,241409,414864,1,6.348479137066141,54.03488306579012,22.08419653281409
BI Tech,SAI,The latest tech news from @BusinessInsider.,1365973,63,110351,2,21682.11111111111,53.90018916879322,22.49821790962201
Felipe Peláez R.,Felipe_Pelaez,"Cantautor Colombo-Venezolano. Generos: vallenato, pop y caribeño. Colombian-Venezuelan singer-songwiter and record producer. Vallenato Grammy Award winner 2013",1254978,158,20436,1,7942.898734177215,53.83688393919005,22.00327377741852
Colleen Evans,ColleenB123,I put on lots of lipstick and make videos for a living. https://t.co/cVmCx5gGQG,1218070,8912,17890,1,136.677513464991,53.69581474919601,21.94561843442906
The Verge,verge,"https://t.co/W2SFxIXkC4 covers the future of technology, science, art, and culture. Snapchat: verge",1264773,147,92538,3,8603.897959183674,53.48007939012709,22.78827699268279
