user_name,nickname,bio_content,followers,following,total_tweets,repeats,ff_ratio,influence_score,keyword_score
A.RADIO,ADOTRADIO,,1285,118,343024,254,10.88983050847458,27.14370503463019,70.85748201385208
iTunes U Top,iTunesUTop,"https://t.co/BIIZY2hl7L

iTunes U Top 20 . United States, China, Korea, United Kingdom, France, Australia, Germany, Japan, and others https://t.co/bHHSpv32cE",248,,156462,320,248,20.90839231692646,66.58963434655574
本日の人気アプリランキング！,di_calabria,iOSのカテゴリ別ランキングを公開しています。 人気のアプリをご紹介。 リンクからすぐにアプリをダウンロード可能です。,544,186,306859,217,2.924731182795699,23.884317973514,54.65834265919608
MacBooks on Ebay,MBonEbay,"We're here to let you know about every new #Apple #MacBook listing on #eBay",97,14,183282,309,6.928571428571429,17.34640641447858,53.58477688193914
INQUIZIE,INQUIZIE,"INQUIZIE is a Fan, Celeb & Sports Team conversation & content sharing mobile platform. We rank Celebs’ & Sports Teams' popularity based on realtime social media",335,70,189004,228,4.785714285714286,22.04600854832574,52.56187281534354
Apple Support,AppleSupport,"We’re here to provide tips, tricks and helpful information when you need it most. We’re available every day to answer your questions, from 5am-8pm Pacific.",299906,18,59546,71,16661.44444444445,48.03746959298094,48.89655842907536
homeshopbuzz,homeshopbuzz,"Shopping buzz for #electronics, #fitness products and #fashion items.      https://t.co/CmLlvp0ZAC",13174,2369,1907120,108,5.560996200928662,35.96900687419851,48.19413376345177
アプリランキング！,_app_xx,iPhoneアプリのランキングをお知らせ！,185,,120038,213,185,19.79645302464013,44.61429954587814
ゲームアプリ情報！,GameAppxx,,205,,162227,203,205,20.18590575267895,43.73529399978167
Aoleon Martian Girl,aoleontmg,"I am a Martian Girl who likes visiting Terra and making crop circles! #Aoleon http://t.co/H02LAXrUAI",424731,5539,18856,50,76.68008665824156,49.32494039475893,41.19270703474267
Damy - TLVRP,TLVRP,News section - Contact me via DM - Official account. I am finding Sponsors,1515,1698,298780,103,0.892226148409894,27.76795296727774,35.99744480084364
Mac App Store Top 20,MacAppRank,https://t.co/BIIZY2hl7L Mac App Store Top 20 . United States China Korea United Kingdom France Australia Germany Japan  https://t.co/bHHSpv32cE,157,,190351,160,157,19.17387963039685,34.36753077015643
本日の人気映画ランキング！,_moviexx,"映画のカテゴリ別ランキングを公開！
人気の映画がリンクからすぐ見れる。",161,,259916,157,161,19.26931630233281,34.03551405674595
本日のミュージックビデオランキング！,_musicvideo,ミュージックビデオのカテゴリ別ランキングを公開。 人気のミュージックビデオがリンクからすぐ見れる。,107,1,225348,173,107,17.7195104743987,33.76537180809344
白猫ガチャ研究所,shironekogatya,,10960,907,41841,64,12.08379272326351,35.27351524185362,33.7555410353947
appstorerankingTop10,appsranking10,AppStore の無料アプリTop10を毎時、有料アプリTop10を毎時30分にツイートします。,342,1,432839,128,342,22.12799580182636,33.50026368685016
Cell Phone Deals,CellularDealsV,"#Cell #Phone #Deals #Deal #Cellular #Smartphone #Mobile #Cellphone #Accessories #Case #communications #Smartphones #Bestbuy #Onsale #Bargain #mobilephone #Sale",408,74,944843,121,5.513513513513513,22.79350534169679,33.11926200869361
rima,rimairama24,,7279,58,66502,60,125.5,33.72164118999864,31.09658878271161
Skip Bayless,RealSkipBayless,"Daily sports truth and the hottest sports debate on TV, 10 a.m. Eastern, ESPN2. Maybe not what you want to hear, but need to hear.",1883659,,28407,1,1883659,75.33274879223229,30.78868936681477
DigitalDealerCo,DigitalDealerCo,Your Digital Dealer ► http://t.co/npqLqEMccH ► Ebay Affiliate ►Updated Every Minute,2099,2040,294423,74,1.028921568627451,29.00426677144577,30.28020758825426
Heinz Duthel,tophotelone,"Hotel und Gruppen Tourismus Marketing.
https://t.co/6fQeni2Wym - https://t.co/HtfJKCm85B",43948,1212,283446,39,36.26072607260726,40.5387535318365,29.97439160367822
Tee,teetag48,A Great and Loyal Person. Proud to be African American Woman. Loves All Type of Music and A Believer in Kristen Stewart who is Amazing.,1336,1391,93818,79,0.9604601006470166,27.29126754467806,29.67937421933133
Chasing Your Dream,chasing_urdream,"Tom Kelly supporting folks chasing their dream. I'll play your music it might not make you famous but it will make your day. #USMC @tomsturf #BeatMS",15658,8430,149795,46,1.857413997627521,36.62475278504011,29.31148670685814
CommuniTrainer,CelebrainLTD,"First App for Team-building, focus groups sessions, brainstorming meetings, ice-break exercises. #psychology #leadership #management #business #coaching",64049,12520,385011,34,5.11573482428115,41.96665948235567,29.20409391088132
アップル製品紹介,apple_goods,Amazonのアップル製品を紹介します。,1516,1517,1086601,74,0.999340804218853,27.77042583021033,28.99208814962473
Fact,Fact,Interesting facts about the world we live in. Check us out: https://t.co/csHwnwjWqZ / Facebook: https://t.co/nKPHSWpSOr,1550867,,401738,1,1550867,70.54769807517228,28.83302675667507
Mikey Wax,MikeyWax,"'Bottle Of Jack (Achtabahn Remix)' now on iTunes! As heard on Kardashians commercial & FOX Sports. https://t.co/zZeCR2J3oA
https://t.co/T1OW3YEz0P",179109,155375,13922,25,1.15275301689461,45.97049940451357,28.3897572811512
ESPN,espn,"We talk about sports, sports, and well ... sports.",27849184,306,75260,1,91010.40522875817,69.01469663348,28.20648510057119
Брильков Денис,salon_apple,"В политике, как и в торговле, необходимо иметь доброе имя. Ни в той, ни в другой обманывать много раз невозможно",1488,265,39564,71,5.615094339622641,27.70008535652928,28.19546603103786
BigTopApps,BigTopApps,"iOS, Android, Amazon, and WindowsPhone App Design, Development, and Reviews. Order from our site! @ https://t.co/NJk5qoeNUE ✌️ ¯\_₍⸍⸌̣ʷ̣̫⸍̣⸌₎_/¯  kitties!",74026,1108,61873,30,66.81046931407943,42.52472943376636,28.11214734007552
CNN,CNN,"It’s our job to #GoThere and tell the most difficult stories. Come with us!",24830153,1118,84742,2,22209.43917710197,67.2145260599347,28.05569103389912
winny saputri,saputri_winny,,9192,56,70066,47,164.1428571428571,34.60700625247608,27.9978162600171
Classic Rock,ClassicRockAsia,"Asia's Original Rock Station available on Astro #860 and your iPhone
http://t.co/0pd0ZcddCu",742,125,466176,82,5.936,25.06131904824815,27.90859033945654
nindi toge,NindiToge,,7707,40,45009,48,192.675,33.93950904334122,27.75315813910724
New iOS Apps,iOSNew,Tweeting new apps on the App Store as they're released!,78,,39818,147,78,16.52055513096811,27.74264419400843
蜜影,hb_apple,サブ垢【@yue_apple】気分屋 / ひとみしり/ あまのじゃく / ⚠️迂闊に手を出すと噛み付きますのでご注意を。,5778,5521,44043,50,1.046549538127151,32.84483919703819,27.42969029093014
Apple News,Apple_News1,"News, features, and opinions about Apple.",204,63,56742,108,3.238095238095238,20.1652409447044,27.01899229134538
putri lubis,putrilubis24,,7019,56,41162,46,125.3392857142857,33.58422489960381,26.87809437192883
Apple News,applenws,"#AppleNews: Latest news about #Apple ( #iPhone) . We are not related with Apple® . Spanish: @MundoApple",1034245,46,103906,12,22483.58695652174,52.83386639261727,26.65104280049186
POM Radio Extra,pomradioextra,Africa's Urban Music Radio https://t.co/qiSLGlFPce,10489,1272,18299,41,8.246069182389936,35.10948365947297,26.57107119066214
App Crushr,appcrushr,"Serving those about to work and play by tweeting every new #Apple #iOS app released on the #iTunes #AppStore in the US",138,260,19660,117,0.5307692307692308,18.68315871537963,26.49650718181716
【劉旺】姫雪-大手-脱獄端末販売 交渉可,_Apple_4_4s_5,大手脱獄端末販売屋 /実績1500突破↑↑/実績はリスト/脱獄端末販売の方を長く行ってます。取引は基本的DMに来てもらう形になります。まず、ご予算からご相談くださいあなたに合うプランやセットををご紹介します。詐欺師情報や取引相談なども無料で受け付けているので怪しい取引があればお気軽に連絡下さい,49422,4635,30212,28,10.66278317152103,40.9957928370839,26.38786259710329
BBC News (World),BBCWorld,"Where we #LiveTheStory - join us
http://t.co/zQYj7l9rp2",14140532,106,229838,1,133401.2452830189,64.353323320371,26.30136976546116
モンストガチャ研究所,monnsutogatya,研究員,98298,4599,41234,23,21.37377690802348,43.60933207446732,26.17255563726321
Apple Music,AppleMusic,All the ways you love music. All in one place. Available on the new iOS.,8395604,779,24745,1,10777.41206675225,63.36274050096626,25.89651600388037
Zuoqfi Deahhe,Zuoqfi__Deahhe,,271,,252448,94,271,21.24492615872761,25.87723868983632
Business News,BusinessNewzzz,Gathering and spreading business news from various sources,23267,22244,646603,32,1.045989929868729,38.12593209898179,25.86778935652909
Starbucks Coffee,Starbucks,"Inspiring and nurturing the human spirit—one person, one cup, one neighborhood at a time.",11682860,99785,63244,1,117.0803226937917,63.2291671698223,25.84192423779967
Suba.Me,SubaMeOficial,Desde 2009 aumentando sua presença e de sua marca nas redes sociais!,612527,,76419,6,612527,57.0964966354442,25.81992225596457
La Patilla,la_patilla,"Información e Investigación. 
También tenemos noticias frescas en Instagram - https://t.co/zWU7Vr8R9P  y Snapchat: https://t.co/7156GAjx0g ¡Siguenos!",5669427,158,2845227,4,35882.44936708861,59.36195559906082,25.81119272835289
Forbes,Forbes,"Official Twitter account of http://t.co/iVGiXAHX, homepage for the world's business leaders.",9332329,5163,132168,2,1807.539996126283,61.4552399536731,25.65173520701398
TechCrunch,TechCrunch,"Breaking technology news, analysis, and opinions from TechCrunch. The number one guide for all things tech.
Got a tip? Let us know tips@techcrunch.com",6699109,798,125085,3,8394.87343358396,60.127682779886,25.62087240224176
HEXE 999 That's Life,cocolasvegas64,Not entry for stupidity Animals loverMy life*My ideas*I'm what I am* I do what I do*life is so much easier*I don't come in Twitter looking for love*NO DM!!,8359,6817,91138,40,1.226199207862696,34.24475150040654,25.61861867122679
Bill Simmons,BillSimmons,Host of The Bill Simmons Podcast - links at https://t.co/wFBtVnv1DU. My HBO show = 2016. My next digital venture is https://t.co/CIR7zsReer - follow @ringer,4910572,378,16293,2,12990.93121693122,61.04047521284974,25.47861025765528
Piitno Jiabwe,Piitno__Jiabwe,"Music,sports,photografy,travel,shopping,internet",157,,97513,106,157,19.17388609927263,25.35697144025413
TIME.com,TIME,Breaking news and current events from around the globe. Hosted by TIME staff. Tweet questions to our customer service team @TIMEmag_Service.,10435951,842,169723,1,12394.24109263658,61.91631903780456,25.30535980904136
Mashable,mashable,"News, resources, inspiration and fun for the connected generation. Tweets by @mashable staff.",7003523,2835,191423,2,2470.37848324515,60.09348387634892,25.08333117281943
Unlocked iPhone Sold,iPhoneUnlocked9,"Top 10 #Bestseller, Most Watched/Popular Unlocked #iPhone on eBay Right Now.  #Apple #iPhone5 #iPhone4 #iPhone3 #Onsale #Auction",936,376,189323,65,2.48936170212766,25.94201409572655,25.05137799922507
ドカバトガチャ研究所,dokabatogatya,ドカバトのガチャ結果と確率を研究しています。,987,860,45188,64,1.147674418604651,26.14331064594368,25.0182492235171
Yarimar,Yarima_PR,,2862,3146,117347,49,0.9097266369993643,30.18008773045418,24.94163318397418
Laoyce Hoomci,Laoyce__Hoomci,"sports, fashion, internet, shopping",223,,202512,93,223,20.50521910074571,24.79779504167289
Ricky Jarman,RickyJarman1,"Award Winning Singer/Songwriter/Model/Actor Book: rickyjaybooking@gmail.com Press: pr@rickyjarman.com~ Be the change u wish 2 c in the world #HarmonixFactory",101229,80325,76105,19,1.260242763772176,43.71184620779625,24.71245577656324
Washington Post,washingtonpost,"Tweet-length breaking news, analysis from around the world. Founded in 1877. Follow our journalists on Twitter: https://t.co/VV0UBAMHg8",6354964,1281,174630,1,4960.939890710382,59.74984157605915,24.41991486432214
YG Family,ygent_official,Welcome to the official Twitter page for YG Entertainment. [http://t.co/kwN2AK5T] [http://t.co/2leNbrwq],2300574,30,5756,1,76685.8,59.65143270590243,24.37969490444054
Sprint Forward,sprintforward,"We’re here to unleash the power of mobile technology and help you #MoveForward every day. To connect directly with our sales team, call 1-800-224-0560.",1504,384,183446,55,3.916666666666667,27.74037928854428,24.37387124957458
CNBC,CNBC,First in Business Worldwide,2328722,965,95763,4,2413.183419689119,55.81669164040778,24.26967526340057
Bloomberg,business,The first word in business news.,3127763,752,146018,3,4159.259308510638,56.92993520914318,24.25828733831198
LA F.m.,lafm,"Escúchanos en:
Bogotá 94.9 FM
Cali 98.5 FM
Medellín 106.9 FM
Cúcuta 102.7 FM
Eje Cafetero 98.5 FM
M/zales 99.7 FM
Fusa 103.3 FM
Ibagué 1020 AM
B/quilla 93.1 FM",1580767,214,741409,5,7386.761682242991,54.21776188659742,24.04627888197401
Mustafa agha,mustafa_agha,"يفتشون عن أخطاء الآخرين وكأنهم يبحثون عن كنز، عقول تستحق الشفقة Head of MBC Sports. Brand Ambassador Copa Coca Cola, TryMax , https://t.co/Q8kM9OZjHV",4092402,111,60618,1,36868.48648648649,58.67621179234908,23.98111959353258
iPhone iPad,qaqwqa,"متخصص ف طرح برامج الايفون والايباد الاسلامية والعربية والمعربة جديدها وعروضها وتحديثاتها واهم البرامج الاجنبية 
يكتب ف الحساب 3 اشخاص
لا نتشرف بمتابعة الروافض",221278,257,46221,13,861.0038910505837,46.71476383487866,23.97091678781411
Pierce The Veil,piercetheveil,"New album #Misadventures available May 13th | Pre-order now DIGITAL: https://t.co/GGdBFgOjqY | BUNDLES: https://t.co/vasqaxhIgq | New single #TexasIsForever",1334664,78,2225,1,17111.07692307692,58.60330818372162,23.95132370003689
Financial Times,FT,"News stories, features and updates from the FT. For headlines follow @financialtimes. Our customer service team is @FTcare.",2345296,709,120976,3,3307.892806770099,55.81246037321154,23.78212263579166
Design Museum,DesignMuseum,"One of the world's leading museums devoted to contemporary design in every form from architecture and fashion to graphics, product and industrial design.",2709749,2305,11249,1,1175.596095444685,58.16224934613608,23.77106181180602
ABS-CBN News Channel,ANCALERTS,News updates & breaking news from the Philippines. Like our Facebook page:  http://t.co/xr1ETuyubS.,3127274,754,309103,2,4147.57824933687,56.83610322760303,23.7236836320553
Musics Store,Jessie_Courser,"I make friendship bracelets and enjoy all things apple related. #Music #Store #MP3 #Download #Free",3220,1731,276539,43,1.860196418255344,30.62689538597779,23.71168755200039
App Storeランキング急上昇情報,AppStoreHit,"iOSのApp StoreとMac App Storeのランキングの順位が大きく上昇したアプリをツイートするBOTです。
200位を超えると圏外となります。",1183,9,131901,55,131.4444444444445,26.83142783516785,23.57522803470478
iPhone News,iPhone_News,The best iPhone news and notes from around the web.  Follow @iphoneinformers for more.,717007,10,50897,6,71700.7,52.00140108341862,23.51584094113404
Mr. Presidential ™,Dezparado_MGD,"Music Producer. Listen To Beats via @Spotify @Tidal & #MicrosoftGroove - @YouTubeChannel
https://t.co/ItiavNRLwU DezparadoMGDBeatleases@Gmail.com",81221,51936,53664,17,1.563867067159581,42.87836534103254,23.49494259799925
Yung Rénzél,rickyrozay,"https://t.co/O1ky9Oy0Rt • @OfficialBelaire rosé • @wingstop LemonPepper lover • @bellocigars • @maybachmusicgrp • #GodIsGreat #MMG RickyRozayBookings@gmail.com",3235214,367,52834,1,8815.297002724796,57.43542691768289,23.47400760452895
NBC News,NBCNews,"A leading source of global news and information for more than 75 years. 
 
Facebook: https://t.co/oeDi7xACU7 

Snapchat: https://t.co/suOkoNb0KE",3390459,2904,78962,1,1167.513429752066,57.38122771672942,23.45185625085024
El Comercio,elcomercio,"#ElComercio informa a través de este espacio lo que sucede en #Perú y el Mundo minuto a minuto. También sigue a @SmartphonesECpe, @Mundo_ecpe y @TVmas_ECpe",2646461,4145,261079,2,638.470687575392,56.166009511587,23.44398304704278
CNN México,CNNMex,"Te traemos las noticias de última hora y las historias destacadas del momento. Comparte, analiza y discute. ¡Únete a la conversación!",3384665,131,357559,1,25837.13740458015,57.36093492696191,23.44356253516145
Miranda Sings,MirandaSings,I am a really famous actor/singer/dancer/model/magician on youtube. https://t.co/DZc22P2FpD FOLLOW ME ON INSTAGRAM! @MirandaSingsOfficial,2278389,17801,10505,1,127.9921914499186,57.2959514061813,23.41700360206325
DRUDGE REPORT,DRUDGE_REPORT,The DRUDGE REPORT is a U.S. based news aggregation website run by Matt Drudge(@DRUDGE).,921246,2,166303,1,460623,57.01079739258974,23.30046041882717
scarlet monahan,scarletmonahan,"looking in-looking on,
making art and still trying to work out the difference between a smile and a grin-
photography sculpture poetry celebrity controversial",1752708,25126,1055300,3,69.7567460001592,54.52769945543917,23.23467603516124
la Repubblica,repubblicait,Il twitter feed ufficiale delle notizie di Repubblica.it,2194604,219,203117,2,10021.02283105023,55.56122839422403,23.19154427872145
Flossy,_Rotten_Apple,Indecision Clouds My Vision,3911,2972,82194,39,1.315948855989233,31.36435351534762,23.19083180312676
Teen Vogue,TeenVogue,Future tastemakers start here. Snapchat: teenvogue,2595501,2820,62389,1,920.3904255319148,56.35448689132403,23.03222461865241
New York Giants,Giants,,1024949,687,20223,4,1491.919941775837,52.91227147431837,23.00680331259451
Ceamnu Meusco,Ceamnu__Meusco,"mMusic,sports,photografy,t",181,,143681,88,181,19.7135243507535,22.98257302773604
Liputan6.com,liputan6dotcom,The Official Twitter of Portal http://t.co/Tg70sL40Bc                                         Contact us: socialmedia@liputan6.com,2650935,685,742777,1,3869.978102189781,56.15262086127245,22.94972144980998
Noticias24,noticias24,"Portal de noticias sobre Venezuela, Latinoamérica y el mundo",2622717,327,1171787,1,8020.54128440367,56.14514926779153,22.9466677902204
The Independent,Independent,"News, comment and features from The Independent.",1903333,1069,362703,2,1780.479887745557,54.88802318345,22.91054493969397
Guaymo Riijso,Guaymo__Riijso,"Music,sports,photografy,travel,shopping,internet",115,,81121,100,115,17.99300349705553,22.85577041614479
Forbes Tech News,ForbesTech,Tech news and insights from Forbes.,2336346,15791,84639,1,147.9542777531505,55.83210478993355,22.81872570206763
The Verge,verge,"https://t.co/W2SFxIXkC4 covers the future of technology, science, art, and culture. Snapchat: verge",1264773,147,92538,3,8603.897959183674,53.48007939012709,22.78827699268279
Entrepreneur,Entrepreneur,"Inspiring, informing and celebrating entrepreneurs since 1973. Please tweet @EntCommunity for questions and event live-feeds.",2264289,1358,89906,1,1667.370397643594,55.70952640848252,22.7686276003776
USA TODAY,USATODAY,The latest news and most interesting stories from USA TODAY. News that's meant to be shared.,2299833,902,154544,1,2549.70399113082,55.69307307214511,22.76190307924088
NFL on ESPN,ESPNNFL,"ESPN’s official NFL coverage. Sunday NFL Countdown, NFL LIVE, NFL Insiders and the NFL Draft. For Monday Night Football, follow @ESPNMondayNight.",1666861,2170,81494,2,768.1387096774193,54.49950769699371,22.74837656495629
