user_name,nickname,bio_content,followers,following,keyword_repetitions,follower_following_ratio,total_favs,total_lists
Skip Bayless,RealSkipBayless,"Daily sports truth and the hottest sports debate on TV, 10 a.m. Eastern, ESPN2. Maybe not what you want to hear, but need to hear.",1883659,,1,1883659,5,12499
Fact,Fact,Interesting facts about the world we live in. Check us out: https://t.co/csHwnwjWqZ / Facebook: https://t.co/nKPHSWpSOr,1550867,,1,1550867,122,4605
Suba.Me,SubaMeOficial,Desde 2009 aumentando sua presença e de sua marca nas redes sociais!,612527,,6,612527,3,480
DRUDGE REPORT,DRUDGE_REPORT,The DRUDGE REPORT is a U.S. based news aggregation website run by Matt Drudge(@DRUDGE).,921246,2,1,460623,,19617
ТСН.ua (канал 1+1),tsnua,"Телевізійна служба новин телеканалу 1+1. Останні новини політики, економіки, спорту - все це ексклюзивно на сайті TCH.ua та в цьому твітері",779125,2,1,389562.5,,1636
نايف الهاجري,Magruff_LE,لو كان الأمر بـ يديّ لـ نزعت قلبي ليكون حذاء لـ آمي ....... مدير موقع الكويت نيوز @liferdefempire,303482,-22,1,303482,167,217
Chipmunk,OfficialChip,"#RAPVSGRIME- https://t.co/SyTmGEGbRV SOUNDCLOUD- https://t.co/ARXKpeNX6p SPOTIFY- https://t.co/T13grVaO50  BOOKINGS- Bwood@wmeentertainment.com  #CASHMOTTO #CM",612202,3,1,204067.3333333333,4184,1978
العناية بالعملاء-STC,STCcare,نقدم لعملائنا الكرام خدماتنا فى (الانترنت - الجوال - الهاتف) على مدار 24 ساعة  A 24/7 Customer Support for (Internet - Jawal - AlHatif ).,845800,6,1,140966.6666666667,258,1429
BBC News (World),BBCWorld,"Where we #LiveTheStory - join us
http://t.co/zQYj7l9rp2",14139770,106,1,133394.0566037736,1,96579
Music News & Facts,musicnews_facts,The original and ultimate source of music news and facts. For business/promotion DM or email us at musicnews_facts@outlook.com,132607,,1,132607,59,373
Raymond Brown,RaymondBrown__,,126297,,1,126297,,58
Green Raver,green_raver,,109536,,2,109536,4,1440
G1 - Economia,g1economia,As principais do noticiário econômico no G1,109127,1,1,109127,,1565
Rinse FM,RinseFM,https://t.co/05srm5SqJT https://t.co/W09gAYdgpw https://t.co/4dWXXXF53s,107473,-7,1,107473,16321,1435
9GAG Tweets,9GAGTweets,"The easiest way to have fun on Twitter! 9GAG images uploaded on Twitter and directly into your timeline! We're not a part of 9GAG!

Management: @deKamps",531672,5,1,106334.4,,1508
GordoGeekNews,GdGkNews,As notícias mais relevantes de tecnologia filtradas por @GordoGeek,98093,1,1,98093,6,97
Descontos e Cupons,GrupoDescontos,"Siga-nos e economize de verdade!
Todos os dias divulgamos ofertas com super descontos somente de lojas conceituadas e confiáveis!
Venha economizar conosco!",92992,,1,92992,20,15
ESPN,espn,"We talk about sports, sports, and well ... sports.",27849184,306,1,91010.40522875817,132,55745
د. عثمان الخميس,othmanalkamees,نقل أوقات المحاضرات والدروس العلمية والفوائد https://t.co/jOb58ffvZS,525697,6,1,87616.16666666667,87,1508
"EAZZY #NaNaRemix",Eazzyfirstlady,"Hiplife/Afrobeats Artiste bookings-teameazzy@gmail.com. #NaNa on itunes",87568,1,1,87568,103,126
YG Family,ygent_official,Welcome to the official Twitter page for YG Entertainment. [http://t.co/kwN2AK5T] [http://t.co/2leNbrwq],2300382,30,1,76679.39999999999,2,5258
iPhone News,iPhone_News,The best iPhone news and notes from around the web.  Follow @iphoneinformers for more.,717011,10,6,71701.10000000001,,5035
Marlon Luan,MarlonLuan,"Para bom entendedor, meias palavras; Para bom descritor, 140 caracteres...",68768,,2,68768,,5084
特徴語,benymd_bot,twitter の今の話題から特徴語(≠頻出語)を抽出して１時間に１回つぶやいています。@benymd_bot と先頭に書いてbotに返信するとあなたの特徴語を返信します。ただ、返信まで半日ほどお待ちください。感想や間違った語もぜひ教えてください。再リクエストは特徴語返信の24時間後から受付てます。鍵付き不可です。,63073,,1,63073,4575,1205
Twitterrific,Twitterrific,"A simply beautiful way to tweet.
App support & FAQ - https://t.co/ezDtz55wSG",425021,7,1,60717.28571428572,524,5377
iClarified,iClarified,Apple News and Tutorials,54440,,2,54440,,2030
Crave for News,CraveForNews,"I crave for up-to-date news from many different sources. If you are the same as me, follow @CraveForNews",50543,1,1,50543,,216
Al Jazeera Türk,AJTurk,"Haber, analiz, görüş yazıları, belgeseller. Son dakika haberler ve canlı anlatım adresi: @AJTCanli. İletişim için: @AlJazeeraTurk.",466376,10,1,46637.6,,1128
Aksam.com.tr,Aksam,"Türkiye'nin Haber Sitesi...  Akşam Gazetesi resmi Twitter hesabıdır -https://t.co/8HaHjPq5xX
https://t.co/HZXNuD1uec",568400,15,1,37893.33333333334,7966,637
