user_name,nickname,bio_content,followers,following,keyword_repetitions,follower_following_ratio,total_favs,total_lists
ESPN,espn,"We talk about sports, sports, and well ... sports.",27849184,306,1,91010.40522875817,132,55745
CNN,CNN,"It’s our job to #GoThere and tell the most difficult stories. Come with us!",24832896,1118,2,22211.89266547406,1385,115077
BBC News (World),BBCWorld,"Where we #LiveTheStory - join us
http://t.co/zQYj7l9rp2",14139770,106,1,133394.0566037736,1,96579
Starbucks Coffee,Starbucks,"Inspiring and nurturing the human spirit—one person, one cup, one neighborhood at a time.",11682860,99785,1,117.0803226937917,9762,28510
TIME.com,TIME,Breaking news and current events from around the globe. Hosted by TIME staff. Tweet questions to our customer service team @TIMEmag_Service.,10435951,842,1,12394.24109263658,625,95400
Forbes,Forbes,"Official Twitter account of http://t.co/iVGiXAHX, homepage for the world's business leaders.",9332329,5164,2,1807.189969016267,4314,48408
Apple Music,AppleMusic,All the ways you love music. All in one place. Available on the new iOS.,8395212,779,1,10776.90885750963,94,20987
Mashable,mashable,"News, resources, inspiration and fun for the connected generation. Tweets by @mashable staff.",7004097,2835,2,2470.580952380953,612,129198
TechCrunch,TechCrunch,"Breaking technology news, analysis, and opinions from TechCrunch. The number one guide for all things tech.
Got a tip? Let us know tips@techcrunch.com",6698667,798,3,8394.319548872181,1158,104873
Washington Post,washingtonpost,"Tweet-length breaking news, analysis from around the world. Founded in 1877. Follow our journalists on Twitter: https://t.co/VV0UBAMHg8",6354964,1281,1,4960.939890710382,4238,69281
La Patilla,la_patilla,"Información e Investigación. 
También tenemos noticias frescas en Instagram - https://t.co/zWU7Vr8R9P  y Snapchat: https://t.co/7156GAjx0g ¡Siguenos!",5669427,158,4,35882.44936708861,569,15979
Bill Simmons,BillSimmons,Host of The Bill Simmons Podcast - links at https://t.co/wFBtVnv1DU. My HBO show = 2016. My next digital venture is https://t.co/CIR7zsReer - follow @ringer,4910572,378,2,12990.93121693122,1,32907
Mustafa agha,mustafa_agha,"يفتشون عن أخطاء الآخرين وكأنهم يبحثون عن كنز، عقول تستحق الشفقة Head of MBC Sports. Brand Ambassador Copa Coca Cola, TryMax , https://t.co/Q8kM9OZjHV",4092402,111,1,36868.48648648649,489,5759
NBC News,NBCNews,"A leading source of global news and information for more than 75 years. 
 
Facebook: https://t.co/oeDi7xACU7 

Snapchat: https://t.co/suOkoNb0KE",3390459,2904,1,1167.513429752066,706,30289
CNN México,CNNMex,"Te traemos las noticias de última hora y las historias destacadas del momento. Comparte, analiza y discute. ¡Únete a la conversación!",3384665,131,1,25837.13740458015,144,11782
Yung Rénzél,rickyrozay,"https://t.co/O1ky9Oy0Rt • @OfficialBelaire rosé • @wingstop LemonPepper lover • @bellocigars • @maybachmusicgrp • #GodIsGreat #MMG RickyRozayBookings@gmail.com",3235214,367,1,8815.297002724796,1320,11105
Bloomberg,business,The first word in business news.,3127735,752,3,4159.222074468085,290,38860
ABS-CBN News Channel,ANCALERTS,News updates & breaking news from the Philippines. Like our Facebook page:  http://t.co/xr1ETuyubS.,3127274,754,2,4147.57824933687,5757,7206
Design Museum,DesignMuseum,"One of the world's leading museums devoted to contemporary design in every form from architecture and fashion to graphics, product and industrial design.",2709749,2305,1,1175.596095444685,8706,13786
Liputan6.com,liputan6dotcom,The Official Twitter of Portal http://t.co/Tg70sL40Bc                                         Contact us: socialmedia@liputan6.com,2650935,685,1,3869.978102189781,6946,4694
El Comercio,elcomercio,"#ElComercio informa a través de este espacio lo que sucede en #Perú y el Mundo minuto a minuto. También sigue a @SmartphonesECpe, @Mundo_ecpe y @TVmas_ECpe",2646461,4145,2,638.470687575392,566,8282
Noticias24,noticias24,"Portal de noticias sobre Venezuela, Latinoamérica y el mundo",2622717,327,1,8020.54128440367,1,15503
Teen Vogue,TeenVogue,Future tastemakers start here. Snapchat: teenvogue,2595501,2820,1,920.3904255319148,3887,9651
Financial Times,FT,"News stories, features and updates from the FT. For headlines follow @financialtimes. Our customer service team is @FTcare.",2345254,709,3,3307.833568406206,14,28765
Forbes Tech News,ForbesTech,Tech news and insights from Forbes.,2336296,15791,1,147.9511113925654,18,29380
CNBC,CNBC,First in Business Worldwide,2328722,965,4,2413.183419689119,2678,21947
YG Family,ygent_official,Welcome to the official Twitter page for YG Entertainment. [http://t.co/kwN2AK5T] [http://t.co/2leNbrwq],2300382,30,1,76679.39999999999,2,5258
USA TODAY,USATODAY,The latest news and most interesting stories from USA TODAY. News that's meant to be shared.,2299833,902,1,2549.70399113082,1445,28438
Miranda Sings,MirandaSings,I am a really famous actor/singer/dancer/model/magician on youtube. https://t.co/DZc22P2FpD FOLLOW ME ON INSTAGRAM! @MirandaSingsOfficial,2278389,17801,1,127.9921914499186,6829,2893
