user_name,nickname,bio_content,followers,following,keyword_repetitions,follower_following_ratio,total_favs,total_lists
iTunes U Top,iTunesUTop,"https://t.co/BIIZY2hl7L

iTunes U Top 20 . United States, China, Korea, United Kingdom, France, Australia, Germany, Japan, and others https://t.co/bHHSpv32cE",249,,320,249,,119
MacBooks on Ebay,MBonEbay,"We're here to let you know about every new #Apple #MacBook listing on #eBay",97,14,309,6.928571428571429,6,51
A.RADIO,ADOTRADIO,,1289,118,254,10.92372881355932,,454
INQUIZIE,INQUIZIE,"INQUIZIE is a Fan, Celeb & Sports Team conversation & content sharing mobile platform. We rank Celebs’ & Sports Teams' popularity based on realtime social media",335,70,228,4.785714285714286,10,226
本日の人気アプリランキング！,di_calabria,iOSのカテゴリ別ランキングを公開しています。 人気のアプリをご紹介。 リンクからすぐにアプリをダウンロード可能です。,545,186,217,2.93010752688172,1,49
アプリランキング！,_app_xx,iPhoneアプリのランキングをお知らせ！,192,,213,192,,28
ゲームアプリ情報！,GameAppxx,,205,,203,205,1,17
本日のミュージックビデオランキング！,_musicvideo,ミュージックビデオのカテゴリ別ランキングを公開。 人気のミュージックビデオがリンクからすぐ見れる。,107,1,173,107,,63
Mac App Store Top 20,MacAppRank,https://t.co/BIIZY2hl7L Mac App Store Top 20 . United States China Korea United Kingdom France Australia Germany Japan  https://t.co/bHHSpv32cE,158,,160,158,,98
本日の人気映画ランキング！,_moviexx,"映画のカテゴリ別ランキングを公開！
人気の映画がリンクからすぐ見れる。",161,,157,161,,17
New iOS Apps,iOSNew,Tweeting new apps on the App Store as they're released!,80,,147,80,,31
appstorerankingTop10,appsranking10,AppStore の無料アプリTop10を毎時、有料アプリTop10を毎時30分にツイートします。,342,1,128,342,,15
Cell Phone Deals,CellularDealsV,"#Cell #Phone #Deals #Deal #Cellular #Smartphone #Mobile #Cellphone #Accessories #Case #communications #Smartphones #Bestbuy #Onsale #Bargain #mobilephone #Sale",408,74,121,5.513513513513513,,118
App Crushr,appcrushr,"Serving those about to work and play by tweeting every new #Apple #iOS app released on the #iTunes #AppStore in the US",138,260,117,0.5307692307692308,,28
homeshopbuzz,homeshopbuzz,"Shopping buzz for #electronics, #fitness products and #fashion items.      https://t.co/CmLlvp0ZAC",13174,2369,108,5.560996200928662,1653,572
Apple News,Apple_News1,"News, features, and opinions about Apple.",204,63,108,3.238095238095238,,714
Piitno Jiabwe,Piitno__Jiabwe,"Music,sports,photografy,travel,shopping,internet",164,,106,164,,2036
Damy - TLVRP,TLVRP,News section - Contact me via DM - Official account. I am finding Sponsors,1515,1698,103,0.892226148409894,3769,216
Tiusxi Luukgo,Tiusxi__Luukgo,"Music,sports,photografy,travel,shopping,internet",94,,101,94,,1493
Guaymo Riijso,Guaymo__Riijso,"Music,sports,photografy,travel,shopping,internet",118,,100,118,,1790
Duejwu Zoogqi,Duejwu__Zoogqi,"Music,sports,photografy,travel,shopping,internet",90,,98,90,,1304
Laoxbu Heiklo,Laoxbu__Heiklo,"music,sports,photografy,travel,shopping,internet",107,,95,107,,2021
Zuoqfi Deahhe,Zuoqfi__Deahhe,,273,,94,273,,2793
Laoyce Hoomci,Laoyce__Hoomci,"sports, fashion, internet, shopping",227,,93,227,,2908
Yoawxu Zuajcu,Yoawxu__Zuajcu,"Music,sports,photografy,travel,shopping,internet",132,,93,132,,1982
Boulqe Foovxu,Boulqe__Foovxu,"Music,sports,photografy,travel,shopping,internet",103,,92,103,,1943
Moalbi Xoekpa,Moalbi__Xoekpa,"Music,sports,photografy,travel,shopping,internet",81,,92,81,,1461
Xaecbi Teayzi,Xaecbi__Teayzi,"Music,sports,photografy,travel,shopping,internet",95,,91,95,,1592
Jaogto Peesci,Jaogto__Peesci,"Music,sports,photografy,travel,shopping,internet",99,,90,99,,1861
Ceamnu Meusco,Ceamnu__Meusco,"mMusic,sports,photografy,t",191,,88,191,,2157
Baofya Yaodwa,Baofya__Yaodwa,"Music,sports,photografy,travel,shopping,internet",88,,83,88,,1539
Kaodja Qeocsi,Kaodja__Qeocsi,"Music,sports,photografy,travel,shopping,internet",106,,83,106,,1845
Qaucde Piohvi,Qaucde__Piohvi,"Music,sports,photografy,travel,shopping,internet",113,,82,113,,1714
Classic Rock,ClassicRockAsia,"Asia's Original Rock Station available on Astro #860 and your iPhone
http://t.co/0pd0ZcddCu",742,125,82,5.936,,87
Vioksa Veejga,Vioksa__Veejga,"Music,sports,photografy,travel,shopping,internet",111,,82,111,,1598
Xauqro Rautlo,Xauqro__Rautlo,"Music,sports,photografy,travel,shopping,internet",198,,81,198,,1866
Tee,teetag48,A Great and Loyal Person. Proud to be African American Woman. Loves All Type of Music and A Believer in Kristen Stewart who is Amazing.,1338,1391,79,0.9618979151689432,2972,351
Bounxa Seovdi,Bounxa__Seovdi,"Music,sports,photografy,travel,shopping,internet",97,,79,97,,1839
Foiwlo Ciifve,Foiwlo__Ciifve,"Music,sports,photografy,travel,shopping,internet",94,,79,94,,1684
Juipti Kuofti,Juipti__Kuofti,,110,,78,110,,2004
Jeofto Qauhci,Jeofto__Qauhci,"Music,sports,photografy,travel,shopping,internet",72,,78,72,,1539
Saotne Ziothe,Saotne__Ziothe,"music,sports,photografy,travel,shopping,internet",97,,76,97,,1843
Poavvu Loicne,Poavvu__Loicne,"Music,sports,photografy,travel,shopping,internet",82,,76,82,,1546
Coihke Kuacfi,Coihke__Kuacfi,"Music,sports,photografy,travel,shopping,internet",109,,76,109,,1490
DigitalDealerCo,DigitalDealerCo,Your Digital Dealer ► http://t.co/npqLqEMccH ► Ebay Affiliate ►Updated Every Minute,2100,2044,74,1.027397260273973,,126
Faufbe Kuozre,Faufbe__Kuozre,"Music,sports,photografy,travel,shopping,internet",153,,74,153,,1697
アップル製品紹介,apple_goods,Amazonのアップル製品を紹介します。,1516,1517,74,0.999340804218853,,86
Viuxvi Yaojva,Viuxvi__Yaojva,"Music,sports,photografy,travel,shopping,internet",160,,73,160,,1533
Gaigko Youklu,Gaigko__Youklu,"Music,sports,photografy,travel,shopping,internet",108,,73,108,,1648
Kiocro Waawsi,Kiocro__Waawsi,"Music,sports,photografy,travel,shopping,internet",119,,72,119,,2127
Kaaxga Raamhe,Kaaxga__Raamhe,"Music,sports,photografy,travel,shopping,internet",101,,72,101,,1627
Goefra Qainqe,Goefra__Qainqe,"Music,sports,photografy,travel,shopping,internet",181,,71,181,,1719
Брильков Денис,salon_apple,"В политике, как и в торговле, необходимо иметь доброе имя. Ни в той, ни в другой обманывать много раз невозможно",1488,265,71,5.615094339622641,184,18
Keuyhe Taobbe,Keuyhe__Taobbe,"Music,sports,photografy,travel,shopping,internet",125,,71,125,,1551
Paessi Woinda,Paessi__Woinda,"Music,sports,photografy,travel,shopping,internet",110,,71,110,,1307
Apple Support,AppleSupport,"We’re here to provide tips, tricks and helpful information when you need it most. We’re available every day to answer your questions, from 5am-8pm Pacific.",300200,18,71,16677.77777777778,3,2171
Geosti Zooyge,Geosti__Zooyge,"Music,sports,photografy,travel,shopping,internet",87,,70,87,,1310
Baozci Goucgo,Baozci__Goucgo,"music,sports,photografy,travel,shopping,internet",143,,70,143,,1623
助手@りんご,Lie_Apple,"あーんどぅーぶるぁぁあ！！
◆うちのこまとめ【https://t.co/pK1sAeImt2】",244,286,69,0.8531468531468531,3974,22
Muansi Poitxa,Muansi__Poitxa,"Music,sports,photografy,travel,shopping,internet",133,,67,133,,1909
Leityu Maonxo,Leityu__Maonxo,"Music,sports,photografy,travel,shopping,internet",98,,67,98,,2172
IPHONE DEALS,sh_fzs_123,"#iphone #apple #mac",84,30,67,2.8,,31
Apples Bot,its_apple_time,If this bot says anything naughty I will punish it.  I do not support naughtiness of any kind.,9,,66,9,,25
Puoddo Moegje,Puoddo__Moegje,"music,fashin,shopping,internet,travel",195,,66,195,,2452
Nealra Puifpa,Nealra__Puifpa,"Music,sports,photografy,travel,shopping,internet",130,,66,130,,1918
Wiemdi Biivgi,Wiemdi__Biivgi,"Music,sports,photografy,travel,shopping,internet",258,,66,258,,2516
Vaahqi Yeigdi,Vaahqi__Yeigdi,"Music,sports,photografy,travel,shopping,internet",106,,66,106,,1622
