timecode_utc,original_tweets,rt,replies,images_and_links
2016-04-28T09:00:00,4782,1943,406,3169
2016-04-28T10:00:00,5856,2024,573,3593
2016-04-28T11:00:00,919,425,110,629
2016-04-28T12:00:00,1905,727,273,1233
2016-04-28T13:00:00,,,,
2016-04-28T14:00:00,11444,4339,1287,6812
2016-04-28T15:00:00,1940,739,214,1115
2016-04-28T16:00:00,3793,1659,403,2218
2016-04-28T17:00:00,2668,1323,284,1477
2016-04-28T18:00:00,6272,3183,711,3815
2016-04-28T19:00:00,3416,1657,231,1879
2016-04-28T20:00:00,1375,566,65,605
2016-04-28T21:00:00,8819,3824,620,5317
2016-04-28T22:00:00,5970,2311,469,3360
2016-04-28T23:00:00,4406,2538,433,2368
2016-04-29T00:00:00,873,375,112,472
2016-04-29T01:00:00,7581,7281,1037,5284
2016-04-29T02:00:00,8276,8261,1367,6932
2016-04-29T03:00:00,2254,2871,534,1667
2016-04-29T04:00:00,3879,5621,917,4478
2016-04-29T05:00:00,668,713,119,683
2016-04-29T06:00:00,3514,3506,450,3617
2016-04-29T07:00:00,2280,1523,221,1743
2016-04-29T08:00:00,4671,2733,424,3665
2016-04-29T09:00:00,897,542,81,713
